Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Hugs and Mugs Cafe Abuja,"34 Usuma St, Maitama 904101, Abuja, Federal Capital Territory, Nigeria",9.0767394,7.4978268,0803 324 4031,5,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Eleven 05 Cafe,"21 road corner shop,off, 2nd Ave, Gwarinpa Estate 900108, Abuja, Federal Capital Territory, Nigeria",9.102616000000001,7.419804600000001,0907 350 4143,4.2,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fAM']"
Vido Hotel Café & Restaurant,"13 Mississippi St, Maitama 904101, Abuja, Federal Capital Territory, Nigeria",9.092075,7.481891200000001,0807 697 2904,4.4,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Kim's cafe,"Adetokunbo Ademola Cres, Wuse 904101, Abuja, Federal Capital Territory, Nigeria",9.0804206,7.485352999999998,0704 033 3888,4.3,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
annietomblog,"chosen Plaza, Mpape, 39GX+HCG, Jabi 900108, Abuja, Federal Capital Territory, Nigeria",9.076424999999999,7.398567899999999,0902 618 8829,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Meerah's Cafe,"Plot 123 Adetokunbo Ademola Cres, near Atiku campaign HQ, Wuse 2 904101, Abuja, Federal Capital Territory, Nigeria",9.0763457,7.477173,0809 115 0184,3.3,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Café By ABUJA CAR,"3CQJ+8MC, Plot 53 Bala Kona St, Kado 900108, Abuja, Federal Capital Territory, Nigeria",9.088322499999999,7.431731399999999,0913 476 2890,4.8,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: 2:30\u202fAM\u2009–\u200912:00\u202fAM']"
Cafechocolatabuja,"2 Federal Capital Territory NG, 3 Cairo Cres, Wuse 900288, Abuja, Federal Capital Territory, Nigeria",9.075809999999997,7.478213799999999,0815 387 6137,4.4,"['Monday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:00\u202fPM']"
Café Flour,"Capador Mall, Aguiyi Ironsi St, Maitama 904101, Abuja, Federal Capital Territory, Nigeria",9.0898976,7.4760034,0815 555 5615,4.5,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:00\u202fPM']"
Café de vie,"12 Amazon St, Maitama 900271, Abuja, Federal Capital Territory, Nigeria",9.0990442,7.483206399999998,0816 666 6696,4.2,"['Monday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20098:30\u202fPM']"
Grounded Cafe,"10 Fandriana Close Off, Oda Cres, Wuse 2 904101, Abuja, Federal Capital Territory, Nigeria",9.077395699999999,7.470437199999999,0809 153 3000,4.5,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']"
Bleu Café Abuja,"16 Bangui St, Wuse 2 904101, Abuja, Federal Capital Territory, Nigeria",9.068672799999998,7.480881200000001,0805 568 2488,4.2,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20099:00\u202fPM']"
