Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
BMJ Cafe,"X84R+644, Etta Agbo Rd, University of Calaba 540281, Calabar, Cross River, Nigeria",4.9555016,8.3403162,,3.6,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']"
U-Jay's Café,"89 Ndidem Usang Iso Rd, Big Qua Town 540281, Calabar, Cross River, Nigeria",4.9712818,8.3392187,0809 273 3357,3.7,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
CYBER METEOR CAFÉ,"8 White House Street, 540281, Calabar, Cross River, Nigeria",4.953324900000001,8.319335400000002,0706 564 6012,3,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Siplex Cafeteria limited,"No9stmarrylane, Calabar South 500001, Calabar, Cross River, Nigeria",4.961498299999999,8.357154499999998,0816 202 9212,5,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']"
Made With Sugar Confectionary,"Calabar - Ikang Rd, Akim Qua Town 540281, Calabar, Cross River, Nigeria",4.963483099999999,8.334054099999998,0811 155 7979,3.4,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
Al-Hassan Cyber Cafe,"83 Ekpo Abasi St, Calabar South 540252, Calabar, Cross River, Nigeria",4.934342099999999,8.3261423,0805 964 2068,3.8,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Beuberry cafe,"102 ndidem isong road, Atekong 540281, Calabar, Cross River, Nigeria",4.979627899999999,8.3421601,0816 733 4023,4.4,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 12:30\u2009–\u200910:00\u202fPM']"
Munchies and shakes,"92 Murtala Mohammed Hwy, Old Town 540281, Calabar, Cross River, Nigeria",4.987135200000001,8.332501,0806 408 7626,3.9,"['Monday: 12:00\u2009–\u200910:00\u202fPM', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u200910:00\u202fPM', 'Saturday: 12:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM']"
Art Cafe Calabar,"Parliamentary Extension, 540211, Calabar, Cross River, Nigeria",5.010970599999999,8.357246100000001,0703 769 8716,2,
Smiles Cupcakes and Treats,"6/20 Mekenge Layout, off Ndidem Usang Iso Rd, Akim Qua Town 540281, Calabar, Cross River, Nigeria",4.967775199999999,8.338638,0803 526 8322,5,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
