Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"State Library, Calabar","X88G+56G, Duke Town 540281, Calabar, Cross River, Nigeria",4.9654306,8.325591,,4.4,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
National Library of Nigeria Calabar Branch,"X86H+9FJ, Bogoberi 540281, Calabar, Cross River, Nigeria",4.9609561,8.3286251,,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Closed', 'Sunday: Closed']"
University Of Calabar Library,"University of Calabar, University of Calaba 540281, Calabar, Cross River, Nigeria",4.952579699999999,8.341338799999999,,,
Saint Patrick's Collage Library,"28GR+579, Ikot Efanga Nkpa 540211, Calabar, Cross River, Nigeria",5.025411500000001,8.3407259,0904 789 9300,,
Cross River State Library,"X87H+6MJ, Akim Qua Town 540281, Calabar, Cross River, Nigeria",4.9630865,8.3291366,,2.4,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
e-Library UNICAL Calabar,"University of Calabar, Esuk Atu 540281, Calabar, Cross River, Nigeria",4.948977699999999,8.3507137,,3.2,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Law Library,"University of Calabar, Big Qua Town 540281, Calabar, Cross River, Nigeria",4.974348399999998,8.3394475,,5,
Senator Ita Enang Library,"W8WX+M6R, Ring Rd 1, Calabar South 540281, Calabar, Cross River, Nigeria",4.946748099999999,8.3480299,,,
Library & Information Science,"University of Calabar, University of Calaba, W9X2+HHG, Esuk Atu 540281, Calabar, Cross River, Nigeria",4.948926299999999,8.351453699999999,,,
"NATIONAL LIBRARY OF NIGERIA, CALABAR","287M+6W7, Ikot Mbo Rubber Esta 540211, Calabar, Cross River, Nigeria",5.013033499999999,8.334811799999997,,,
Main Library,"W9X2+J75, Mary Slessor Ave, Esuk Atu 540281, Calabar, Cross River, Nigeria",4.9490003,8.3507242,0701 809 2183,4.1,
Law Library,"law library, University of Calaba 540281, Calabar, Cross River, Nigeria",4.946596100000001,8.3481627,,,
DesignzGallery,"305 SMG NAF CALABAR, Airport Area 540221, Calabar, Cross River, Nigeria",4.9718836,8.344927999999998,0904 901 2947,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Closed']"
