Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Library,"196Awolowo Road, Ikoyi 106104, Lagos, Nigeria",6.444341199999999,3.4245387,,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Alexander Bernhardt Library,"8 Morris St, Abule ijesha 101245, Lagos, Nigeria",6.521172299999999,3.380194299999999,0814 635 7169,4.9,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']"
Lagos State Library,"229 Herbert Macaulay Way, Alagomeji-Yaba 101245, Lagos, Nigeria",6.496957299999999,3.379565699999999,,3.3,"['Monday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
The La Trobe Reading Room,"CFWC+JRW, Victoria Arobieke St, Lekki Phase 1 106104, Lagos, Nigeria",6.446624099999998,3.472092999999999,,4.6,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Herbert Macaulay Library (You Read),"338 Herbert Macaulay Way, Sabo yaba 100001, Lagos, Nigeria",6.5097204,3.3783888,,4.2,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
"ITIRE PUBLIC LIBRARY,LAWANSON ROAD","G966+5MR, Ojuelegba Rd, Surulere 101241, Lagos, Nigeria",6.510478600000001,3.3616542,,,
University of Lagos Main Library,"University Of Lagos, University Rd, Akoka 101245, Lagos, Nigeria",6.5200958,3.3999487,,4.3,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: Closed']"
Somolu Lg Library,"301 Bawala St, Pedro 102216, Lagos, Nigeria",6.544923400000002,3.3765578,,3,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Herbert Macaulay Library (You Read),"233 Herbert Macaulay Way, Sabo yaba 101245, Lagos, Nigeria",6.4970553,3.3793064,,3.5,
Amuwo Odofin Public Library,"F876+QP4, Amuwo Odofin Estate 102102, Lagos, Nigeria",6.4643983,3.3118216,,3.8,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Yaba Tech Library,"G99G+346, Herbert Macaulay Way, opposite WAEC office, Yaba 101245, Lagos, Nigeria",6.517663400000002,3.3752724,,4.1,"['Monday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fAM', 'Sunday: Closed']"
NATIONAL LIBRARY OF NIGERIA,"227 Herbert Macaulay Way, Yaba 12626, Pietermaritzburg, Lagos, Nigeria",6.496630100000001,3.3795602,,3.1,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Taslim Olawale Elias Library,"G9CX+7GM, Akoka 101245, Lagos, Nigeria",6.520722699999999,3.3988078,,4,
Taslim Elias Library,"CCQH+6M9, Adeola Hopewell St, Victoria Island 106104, Lagos, Nigeria",6.438031,3.4292215,,,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Lagos State Library,"Dele Ogundele St, Isolo 102214, Ikeja, Lagos, Nigeria",6.5338483,3.32933,,4.3,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Public Library,"40 Adegbenro St, Iwaya 101245, Lagos, Nigeria",6.510039900000001,3.390421299999999,,5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Surulere LGA Public Library,"Adebayo Ln, Idi-Araba 101241, Lagos, Nigeria",6.513097199999999,3.355995899999999,,3.8,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
