Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
KoWork NG,"Deborah Lawson House, Sani Abacha Road, GRA 500271, Port Harcourt, Rivers, Nigeria",4.8167195,6.9956455,0817 973 1451,4.8,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']"
Rewod Tech Hub and Co-work Space,"Rewod Technologies, Flat 6, road 24, 13 Agip Rd, opposite road, housing estate 500262, Port Harcourt, Rivers, Nigeria",4.8115242,6.970865099999998,0909 433 8865,5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Pyale Workhub,"21 Bekwere Wosu St, phalga 500261, Port Harcourt, Rivers, Nigeria",4.8004129,7.003333800000001,0817 710 1010,5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:30\u202fPM', 'Sunday: Closed']"
Prime Niche Workspaces,"101A, Brookstone Close, Prof. Abowei Road, GRA, Phase 2, Rumueme 502001, Port Harcourt, Rivers, Nigeria",4.822681,6.992679,0818 154 1040,,"['Monday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: Closed']"
CyberOne,"3 Babbe St, D-line 500262, Port Harcourt, Rivers, Nigeria",4.8059428,7.005954699999999,0809 432 3846,,"['Monday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
A+ workstation,"1st Floor, phase 11, G.R.A, 30 Sani Abacha Road, Rumueme 500001, Port Harcourt, Rivers, Nigeria",4.8147846,6.9899813,0908 894 2444,5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Dazzling Sickle,"No 22, 26A Emekuku St, D-line 500101, Port Harcourt, Rivers, Nigeria",4.8033397,7.0025561,0704 210 0008,,
SPACETRAX INNOVATION HUB,"NO 43 ORO-EKPO, Off Ada-George Road, Rumu opirikom 500272, Port Harcourt, Rivers, Nigeria",4.8319481,6.9709765,,5,
The Book Pod,"101 Brookstone Close, Off Professor Abowei Street, GRA Phase 2 500272, Port Harcourt, Rivers, Nigeria",4.8227137,6.9926343,0703 171 4859,4.8,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
The Cave,"9 Bimko Crescent, Off Sani Abacha Road, Rumueme 500001, Port Harcourt, Rivers, Nigeria",4.8208327,6.9943079,0904 828 9464,4.8,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
