Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
989 Workspaces,"Maison Fahrenheit, 80 Adetokunbo Ademola Street, Victoria Island 101241, Lagos, Nigeria",6.4259338,3.4286,0807 778 4904,4.4,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']"
V8 Valley - Workspace,"7b Dr. S. Ezekuse Cl, Lekki Phase 1 106104, Lagos, Nigeria",6.450928500000002,3.47223,0809 952 6038,4.8,"['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Cr8tive Workspace,"E10, Adeniran Ogunsanya Shopping Mall, Adeniran Ogunsanya St, Surulere 000234, Lagos, Nigeria",6.4909635,3.356626,,4,
989 Workspaces Standard Chartered Building Ahmadu Bello Way,"142 Ahmadu Bello Way, Victoria Island 101222, Lagos, Nigeria",6.4278921,3.4092542,0807 778 4904,4.8,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Deskyard - Workspace,"Plot 42 Olabanji Olajide St, Lekki Phase I 105102, eti osa, Lagos, Nigeria",6.434820299999999,3.4723877,0809 390 0963,4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
TyWorkSpace,"17 Ibikunle St, Yaba 101245, Lagos, Nigeria",6.5140461,3.3769924,0807 670 6707,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Workspaces Nigeria,"16/18 Jakande Crescent, Oniru Rd, Victoria Island 106104, Lagos, Nigeria",6.431345200000001,3.4546355,,,
989 Workspaces - Landmark Boulevard,"Landmark Village, Water Corporation Road, Oniru Eti Osa Oniru, VI, Eti-Osa 106104, Lagos, Nigeria",6.4231883,3.4419063,0807 778 4904,5,"['Monday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:30\u202fPM']"
989 Workspaces Oniru,"Plot 120 Bosun Adekoya, New Market Road, Eti-Osa 101222, Lagos, Nigeria",6.426186,3.4594716,0807 778 4904,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Silver Ark Workspace,"3rd Floor, 322 Herbert Macaulay Way, Sabo yaba 101245, Lagos, Nigeria",6.5073847,3.378641,0705 243 0517,3.8,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
