Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
CornerStore Cafe,"51 Tombia St, Elechi 500102, Port Harcourt, Rivers, Nigeria",4.823348899999999,6.995872400000001,0908 612 2222,4.3,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200910:00\u202fPM']"
Cafezoeway,"20b Birabi Street, New GRA 500272, Port Harcourt, Rivers, Nigeria",4.828229099999999,6.9980159,0704 114 2731,5,"['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']"
The Bakistry,"82 Abuloma Road, opposite Community Secondary School, Amadi 500101, Port Harcourt, Rivers, Nigeria",4.792482499999999,7.0323306,0809 458 0655,4.6,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']"
Wood House Cafe,"3 Louis drive, off Sani Abacha Road, Rumueme 500102, Port Harcourt, Rivers, Nigeria",4.816007799999999,6.990627499999999,0818 447 9600,4.1,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']"
REREANDCO,"39 Woji Road, New GRA 500101, Port Harcourt, Rivers, Nigeria",4.8142023,7.0029894,0803 485 2585,4.6,"['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 2:00\u2009–\u20099:00\u202fPM']"
MARLEY & BLUE,"116A Woji Road, GRA PhaseII 500101, Port Harcourt, Rivers, Nigeria",4.8126715,6.9983174,0809 940 0012,4.5,"['Monday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Sweet Memoirs,"1 Iwowari Avenue, Off Peter Odili Road, by Sasun Roundabout, PHALGA 500221, Port Harcourt, Rivers, Nigeria",4.7948376,7.038627,0803 436 6287,4.5,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']"
BEER CAFe,"52 Harold Wilson Drive, Borokiri, Port Harcourt 500101, Port Harcourt, Rivers, Nigeria",4.748220199999999,7.041391299999999,0803 313 3910,3.6,
Fabulous Hot Fun Cafe,"RX8V+VX4, Rumueme 500102, Port Harcourt, Rivers, Nigeria",4.8171386,6.9949448,0803 248 5781,4.7,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
kahdisfood,"12 King Perekule St, Elechi 500102, Port Harcourt, Rivers, Nigeria",4.822077699999999,6.9962123,0706 215 9087,5,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Sauce&Spoon Cafe,"3 Orogbum Cres, New GRA 500271, Port Harcourt, Rivers, Nigeria",4.8148458,6.9977253,0803 984 3575,4.6,"['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 1:00\u2009–\u20099:00\u202fPM']"
Exodus,"RX7R+5J3 Prince, Sam Edeh Road, Rumueme 500101, Port Harcourt, Rivers, Nigeria",4.812876399999999,6.991534,0703 549 0550,4.1,"['Monday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u202fPM\u2009–\u200912:00\u202fAM']"
