Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
LeadSpace Yaba (Lagos),"10 Hughes Ave, Yaba 101245, Lagos, Nigeria",6.4993414,3.3772921,0706 660 7441,4.3,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Workstation,"7 Ibiyinka Olorunbe, Victoria Island 101241, Lagos, Nigeria",6.425193599999999,3.420682100000001,0818 826 9675,4.5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
TyWorkSpace,"17 Ibikunle St, Yaba 101245, Lagos, Nigeria",6.5140461,3.3769924,0807 670 6707,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Rhodes Box / Virtual Office/Private Offices/Workstation/Conference Room/ Lekki Phase 1/ Victoria Island/ Ikoyi/ Ikate,"26 Akin Leigh Cres, Lekki Phase I 106104, Lagos, Nigeria",6.446042499999999,3.454931,0909 176 9566,4.5,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Workcentral Ogunlana Hub Surulere,"8 Ayinde Giwa Street, Off Ogunlana Dr, Surulere 101283, Lagos, Nigeria",6.5019504,3.3519965,0704 330 3377,4.9,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
989 Workspaces,"Maison Fahrenheit, 80 Adetokunbo Ademola Street, Victoria Island 101241, Lagos, Nigeria",6.4259338,3.4286,0807 778 4904,4.4,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']"
V8 Valley - Workspace,"7b Dr. S. Ezekuse Cl, Lekki Phase 1 106104, Lagos, Nigeria",6.450928500000002,3.47223,0809 952 6038,4.8,"['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Seedspace Lagos Ikoyi,"23 Agodogba Ave, Parkview Estate 106104, Lagos, Nigeria",6.458100399999999,3.4377671,0806 435 4498,4.3,"['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Deskyard - Workspace,"Plot 42 Olabanji Olajide St, Lekki Phase I 105102, eti osa, Lagos, Nigeria",6.434820299999999,3.4723877,0809 390 0963,4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Venia Business Hub,"Plot 8 The Providence St, Lekki Phase I 106104, Lekki, Lagos, Nigeria",6.431203699999999,3.4626737,0817 037 4344,4.5,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
