Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Novare Shared Office,"Zone 5 Dalaba St, Wuse 900104, Abuja, Federal Capital Territory, Nigeria",9.064282,7.458253300000001,0817 689 3207,4.5,"['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
The Ruby Centre Workspace,"Plot 762 Aminu Kanu Crescent Wise 2, Wuse 904101, Abuja City, Federal Capital Territory, Nigeria",9.073852099999998,7.4710763,0902 224 4053,4.5,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Work and Connect,"50 Ebitu Ukiwe St, Jabi 900108, Abuja, Federal Capital Territory, Nigeria",9.066590999999999,7.431188599999999,0812 576 6214,4.4,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Tag work spaces Abuja,"Mike Akhigbe Way, Jabi 900108, Abuja, Federal Capital Territory, Nigeria",9.072035099999997,7.433035899999999,0814 267 5583,5,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Space Station Nigeria,"No. 36, Zone 5 Sokode Cres, Wuse 400211, Abuja, Federal Capital Territory, Nigeria",9.0630434,7.455432600000001,0909 542 3802,4.9,"['Monday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']"
SHIL Coworking Space,"3CFJ+WR3, Jabi 900108, Abuja, Federal Capital Territory, Nigeria",9.074759000000002,7.432058499999999,,4.5,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']"
Servelead Work Space,"24, Bambari crescent, Fairtrade complex Wuse, zone 7, Municipal 900287, Abuja, Federal Capital Territory, Nigeria",9.050701699999998,7.4567128,0806 934 1090,5,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: Closed']"
COLLETT Workspace,"9° 1'14.47""N, 7°33'46.11""E, 1 A234, Karu 900101, Abuja, Federal Capital Territory, Nigeria",9.0207038,7.5627397,0706 376 5983,5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
WorkHub Innovation,"762 Aminu Kano crescent Wuse 2, the Ruby centre, 2nd Floor, WorkHub Innovation, 5th entrance, Wuse 900288, Abuja, Federal Capital Territory, Nigeria",9.0856192,7.471731799999998,0806 579 7370,4.9,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
The Learned Company,"39a Tai Solarin Ave, Gwarinpa 900108, Abuja, Federal Capital Territory, Nigeria",9.1104968,7.406616599999999,0907 793 8888,4.8,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 12:00\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
