Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"National Library of Nigeria, Port Harcourt","2 Nyegwa Street, Off NTA Rd, Mgbuoba 500102, Port Harcourt, Rivers, Nigeria",4.8556155,6.9726151,0706 860 8629,4,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Garden City Free Library,"P2QM+CFH, Port Harcourt 500101, Port Harcourt, Rivers, Nigeria",4.7385629,7.033727000000001,,5,
Jubilee Library,"Q2W2+R2R, Afam St, Woji 500101, Port Harcourt, Rivers, Nigeria",4.7971138,7.0000085,0806 536 4937,3,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Library society,"R2Q6+HRR, Proposed Express to E/W Road, City Centre 500102, Port Harcourt, Rivers, Nigeria",4.8389755,7.012012499999999,,1,
TCM Library,"RXFG+FCV, Rumueme 500102, Port Harcourt, Rivers, Nigeria",4.823746499999999,6.9760333,,5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Rivers State University Library,"University Library, RSU Campus, RX2H+M88, Mgbuosimiri 500101, Port Harcourt, Rivers, Nigeria",4.80167,6.9783287,0816 773 9044,4.1,
Port Harcourt Literary Society Library,"Pleasure park, City Centre 500102, Port Harcourt, Rivers, Nigeria",4.8395033,7.0128182,0909 005 4425,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Rivers State University Central Library,"RX5Q+C64, Woji 500101, Port Harcourt, Rivers, Nigeria",4.8085076,6.9880721,,5,
Lexstudy,"9 Market Road, Rumuomasi 500102, Port Harcourt, Rivers, Nigeria",4.8342452,7.0257542,0807 360 4764,3.8,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Closed']"
The Rivers State Library,"Bernard Carr St, Port Harcourt 500101, Port Harcourt, Rivers, Nigeria",4.766608700000001,7.0195985,,4,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
UniBrary,"226 Aba Road Oyigbo, Umueme 502103, Port Harcourt, Rivers, Nigeria",4.8175137,7.009682000000001,0806 059 2024,,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
School library,"R2VV+MQ9, Rumuogba 500102, Port Harcourt, Rivers, Nigeria",4.844169099999999,7.044497799999999,,,
The Polytechnic Central Library,"Rumuchita 500102, Port Harcourt, Rivers, Nigeria",4.836043,6.996448399999999,,,
Onyoma Research Library,"11 Orogbum Cres, GRA 2 500101, Port Harcourt, Rivers, Nigeria",4.8174626,6.9982017,0806 833 7708,5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Okrika library,"P3PM+HQ5, Unnamed Road, Abuloma 500103, Okrika, Rivers, Nigeria",4.736399899999999,7.0844855,,,
Faculty of science library,"QXXH+399, Mgbuosimiri 500101, Port Harcourt, Rivers, Nigeria",4.797651699999999,6.978485699999998,,,
Ecampus Library,"Shop 67 shopping complex Rivers State University, Alozo 500272, Port Harcourt, Rivers, Nigeria",4.8594348,6.983664,0703 149 1184,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Garden City Library,"Baptist High School, Moore House Street, Rivers 500101, Port Harcourt, Rivers, Nigeria",4.758459999999999,7.036716999999999,,5,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Pen Library Services,"1 Slaughter Road, Okuru-Ama Junction, Edokia Community, Abuloma 500272, Port Harcourt, Rivers, Nigeria",4.820771099999999,7.0503696,0703 640 0722,5,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20092:30\u202fPM']"
Essential Bookshop And Research Library (Ebrl),"12 Chinda Street, Rivers 500102, Port Harcourt, Rivers, Nigeria",4.8324149,6.994270200000001,0806 363 5318,,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
