Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Cafe Loxton,"Mall. 0A, Loxton Rd, Milnerton, Cape Town, 7441, South Africa",-33.8829005,18.4954274,021 551 3685,4.1,"['Monday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM']"
Cafe Puka.,"2 Brunswick Rd, Tamboerskloof, Cape Town, 8001, South Africa",-33.92846189999999,18.4071611,021 423 6715,4.7,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20094:00\u202fPM']"
Cafe Nouveau,"Central Building, 7a Central Square, Pinelands, Cape Town, 7405, South Africa",-33.94017890000001,18.4978833,021 531 9628,4.3,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
Cafe Zoe,"71 Hout St, Cape Town City Centre, Cape Town, 8001, South Africa",-33.92096789999999,18.4192361,078 738 8167,4.7,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']"
Coach Cafe Sable Square,"Bosmansdam Rd, Sanddrift, Cape Town, 7441, South Africa",-33.881291,18.5098317,021 110 5592,4,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:05\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:50\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:45\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20093:00\u202fPM']"
Truth Coffee Roasting,"36 Buitenkant St, Cape Town City Centre, Cape Town, 8000, South Africa",-33.92819,18.4226889,021 201 7000,4.6,"['Monday: 6:59\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 6:59\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 6:59\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 6:59\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 6:59\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 6:59\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 7:59\u202fAM\u2009–\u20094:00\u202fPM']"
Nathalie's Caffè,"Unit 18, Victoria Junction, 57 Prestwich St, Green Point, Cape Town, 8001, South Africa",-33.9134987,18.4180252,065 836 6695,4.7,"['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Kanéla Café,"78 Regent Rd, Sea Point, Cape Town, 8001, South Africa",-33.9211914,18.3828095,066 251 7761,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']"
Café Frank,"160 Bree St, Cape Town City Centre, Cape Town, 8001, South Africa",-33.924404,18.414341,062 667 4633,4.3,"['Monday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Selva Cafe & Co.,"Shop 5, 48 2nd Ave, Cape town, Cape Town, 7708, South Africa",-33.9872741,18.4741058,081 808 4780,4.6,"['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200912:30\u202fPM, 1:30\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fPM']"
