Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"Xpresso Café - Churchill Road, Durban","33 Churchill Rd, Greyville, Berea, 4001, South Africa",-29.83190089999999,31.0234184,074 492 5966,4.7,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: Closed']"
Coffee Corner.,"20 Mackeurtan Ave, Durban North, Durban, 4051, South Africa",-29.7773973,31.0448065,031 563 0882,4.4,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20091:00\u202fPM']"
Love Coffee..,"484 Lilian Ngoyi Rd, Morningside, Durban, 4001, South Africa",-29.822075,31.02277199999999,084 493 2802,4.5,"['Monday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']"
Cafe Soho,"218 Mathews Meyiwa Rd, Stamford Hill, Durban, 4001, South Africa",-29.8343802,31.0224,,,
Milk & Honey Cafe,"113 Florida Rd, Windermere, Berea, 4001, South Africa",-29.8347482,31.017754,,4.6,"['Monday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: 8:00\u2009–\u200911:00\u202fAM']"
CAFÉ DELICIOUS,"Riverhorse Close, Riverhorse Rd, Newlands East, Durban, 4071, South Africa",-29.774225,30.99346999999999,031 569 2747,4.4,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
CAFE LESBON,"407 Anton Lembede St, Durban Central, Durban, 4001, South Africa",-29.8603926,31.0199366,031 307 5398,,
The Coffee Tree,"298 Cato Rd, Glenwood, Durban, 4000, South Africa",-29.8607295,30.9895515,083 794 5875,4.5,"['Monday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Xpresso Café Bayhouse,"Shield Ln, Durban Central, Durban, 4001, South Africa",-29.8598896,31.0228097,,4.1,
Freedom Café,"37 Saint Mary's Avenue, Windermere, Durban, 4001, South Africa",-29.839018,31.0193315,078 405 3822,4.1,"['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20098:00\u202fPM']"
Pegasus-Cafe,"899 Bluff Rd, Bluff, Durban, 4036, South Africa",-29.910444,31.0128658,084 315 7170,4.8,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']"
The KZNSA Arts Cafe,"166 Bulwer Rd, Glenwood, Durban, 4001, South Africa",-29.859887,30.99701000000001,031 277 1702,4.4,"['Monday: Closed', 'Tuesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20093:00\u202fPM']"
Jimmy's Cafe,"13 Dr Yusuf Dadoo St, Durban Central, Durban, 4001, South Africa",-29.8624556,31.0182006,031 305 5420,5,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed']"
Playhouse Coffee Shop,"231 Anton Lembede St, Durban Central, Durban, 4001, South Africa",-29.859336,31.026794,031 304 1853,5,"['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fPM']"
Antique Cafe,"91 Churchill Rd, Windermere, Berea, 4001, South Africa",-29.83163200000001,31.020796,081 444 1986,4.4,"['Monday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20093:00\u202fPM']"
Mayfair Cafe.,"Woolworths Centre, Mackeurtan Ave, Durban North, Durban, 4051, South Africa",-29.7765611,31.04613840000001,031 563 2599,4.7,"['Monday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u20093:00\u202fPM']"
Cafe 682,"682 Umbilo Rd, Umbilo, Durban, 4001, South Africa",-29.8801189,30.9884848,031 205 2241,,
Suburban Cafe.,"9 Ennisdale Dr, Durban North, Durban, 4051, South Africa",-29.7859055,31.0379368,031 573 2638,4.4,"['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: Closed']"
Dulce Cafe,"Shop 55 Bluff Twrs, 15 Tara Rd, Bluff, Van Riebeeckpark, Durban, 4052, South Africa",-29.92887,31.00121,031 467 7416,,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fPM']"
Café Rose,"Outside Thekwini Toyota, 22 Buckingham Tce., Westville, Durban, 3629, South Africa",-29.8347,30.91438900000001,083 348 9748,4.7,"['Monday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']"
