Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Cafe bom sabor parkmeadows,"Shop 7 Parkmeadows shopping cnr Cumberland &, Allum Rd, Kensington, Johannesburg, 2094, South Africa",-26.1830352,28.115887,076 600 4539,3.4,"['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20093:00\u202fPM']"
Lua A Baker's Cafe,"102 Nelson Mandela Ave, Randhart, Johannesburg, 1448, South Africa",-26.286258,28.105546,011 869 0063,4.3,"['Monday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20094:00\u202fPM']"
Elm Street Cafe,"Shop 1 Dowerglen Plaza Corner Elm St and, Sycamore St, Dowerglen, Edenvale, 1609, South Africa",-26.1440308,28.1377299,011 454 2215,4.4,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20093:00\u202fPM']"
Dulce Cafe,"Parktown, Johannesburg, 2193, South Africa",-26.1843058,28.0461645,,2.3,
Café Mio,"46 Dunvegan Ave, Dunvegan, Edenvale, 1609, South Africa",-26.1570148,28.1500759,065 890 4308,4.7,"['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fPM']"
NetCafé,"Linksfield Hospital, 24 12th Ave, Linksfield, Johannesburg, 2192, South Africa",-26.15950639999999,28.09695109999999,011 647 3472,3,"['Monday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20098:00\u202fPM']"
Bean Tree Cafe,"25 Ayr Rd, Westdene, Johannesburg, 2092, South Africa",-26.17612889999999,27.9996657,012 345 6789,3.9,"['Monday: 7:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20097:30\u202fPM']"
Funchal Cafe,"639 Ontdekkers Rd, Delarey, Randburg, 2114, South Africa",-26.174569,27.9528352,011 477 6834,4.2,"['Monday: 6:30\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']"
Bertrand Café,"296 Fox St, Jeppestown, Johannesburg, 2043, South Africa",-26.20408,28.06077,082 645 0416,4.5,"['Monday: 8:30\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u200911:30\u202fPM']"
THE BOULEVARD CAFE,"1 Skeen Blvd, Bedfordview, Germiston, 2007, South Africa",-26.1746156,28.1342715,011 455 0616,2,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20093:30\u202fPM']"
Cafe Dulce,"7 York Rd, Parktown, Johannesburg, 2193, South Africa",-26.1778081,28.0450899,011 717 2351,,
Reserved Cafe,"75 4th Ave, Melville, Johannesburg, 2109, South Africa",-26.1756107,28.0073379,073 789 2632,4.6,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20093:30\u202fPM']"
