Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"Dulce Cafe, Walmer Park","Shop 9, Walmer Park Shopping Centre, 9, 9 Main Rd, Walmer, Gqeberha, 6070, South Africa",-33.9802535,25.5581238,041 368 2672,4.3,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20093:00\u202fPM']"
Table 23 Cafe and Lounge,"75 Main Rd, Walmer, Gqeberha, 6070, South Africa",-33.9760971,25.5903244,,4.8,"['Monday: 6:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: 7:30\u2009–\u200911:00\u202fAM, 3:30\u2009–\u20096:00\u202fPM']"
Vida Cafe,"2M95+38, Summerstrand, Gqeberha, 6001, South Africa",-33.9820177,25.65834329999999,,4.8,
Funchal Cafe and Bakery,"398 Govan Mbeki St, North End, Gqeberha, 6001, South Africa",-33.9524893,25.6096805,041 484 2334,5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']"
MOUNT PLEASANT CAFE,"34 Buffelsfontein Rd, Mount Pleasant, Gqeberha, 6070, South Africa",-33.99599,25.53083,041 368 7422,4.4,"['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 1:00\u2009–\u20096:00\u202fPM']"
Kaffeine Espresso Bar,"8th Ave & Marine Drive Summerstrand Villiage Centre, Shop 8, Summerstrand, Gqeberha, 6019, South Africa",-33.9867417,25.6683301,041 583 5080,4.3,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']"
Cafe on Cape,"361 Cape Rd, Newton Park, Gqeberha, 6055, South Africa",-33.9474792,25.5565338,071 869 6488,4.5,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Heritage Cafe,"25 Constitution Hill, Central, Gqeberha, 6001, South Africa",-33.9603496,25.6196028,072 684 3150,4.7,"['Monday: 8:30\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
Cafe Au Lait,"G226, 6th Avenue Shopping Centre, Walmer, Gqeberha, 6070, South Africa",-33.9795979,25.5967878,041 581 0360,4.3,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fPM']"
Groundfloor Café,"20 Stanley St, Richmond Hill St, Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.95933179999999,25.6112104,041 582 2081,4.5,"['Monday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fPM']"
