Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
CaféDNA,"cnr Fry and, Cunningham Ave, Waverley, Pretoria, 0186, South Africa",-25.7023714,28.2556249,082 474 9931,4.6,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Acaso Café & Bistro,"Il Villagio La Trattoria Suite Quintin Brand Street Persequor, Technopark, Off Meiring Naudé Rd, Lynnwood, Pretoria, 0020, South Africa",-25.7442618,28.272741,012 349 1380,4.1,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Café Pionero,"504 M5, Gezina, Pretoria, 0084, South Africa",-25.7182584,28.2027377,,2,"['Monday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fPM']"
Coffee Junction Café,"Zambezi Junction South, Shop 38, 1123 Tibouchina St, Montana Park, Pretoria, 0159, South Africa",-25.6814804,28.2728024,012 548 0644,4.4,"['Monday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u20095:00\u202fPM']"
Cre-Ate Café,"551 General Louis Botha Dr, Waterkloof Glen, Pretoria, 0010, South Africa",-25.7979754,28.2778744,012 368 2366,4.7,"['Monday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Crema Café Elardus Park,"Gypsum and, Hornblend St, Elardus Park, Pretoria, 0181, South Africa",-25.8324873,28.2556887,012 345 1181,4.8,"['Monday: 6:45\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Cafe 41 Groenkloof,"shop no 1, 43 Bronkhorst St, Groenkloof, Pretoria, 0181, South Africa",-25.7721299,28.2148867,012 460 5216,4.3,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20098:00\u202fPM']"
Dias Café,"188 Francis Baard St, Hatfield, Pretoria, 0083, South Africa",-25.749212,28.1878252,071 600 1068,,"['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Cafe Barcelona.,"53 Thomson St, Colbyn, Pretoria, 0153, South Africa",-25.741825,28.241052,012 430 2495,4.2,"['Monday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']"
Trixie’s Café,"Shop3, Block A, 123 Thomson St, Colbyn, Pretoria, 0083, South Africa",-25.7415882,28.2422416,082 903 3863,4.5,"['Monday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']"
