Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
National Library of South Africa Cape Town Campus,"5 Queen Victoria St, Cape Town City Centre, Cape Town, 8000, South Africa",-33.925089,18.4185269,021 424 6320,4.3,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Colin Eglin Sea Point Public Library,"1 Three Anchor Bay Rd, Three Anchor Bay, Cape Town, 8005, South Africa",-33.9075845,18.3977286,021 400 4184,4.7,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']"
Cape Town City Libraries,"25 Queen Victoria St, Cape Town City Centre, Cape Town, 8000, South Africa",-33.9253307,18.4187313,021 444 0983,,
Health Sciences Library,"2 Anzio Rd, Observatory, Cape Town, 7935, South Africa",-33.9420222,18.4650956,021 406 6388,4.5,"['Monday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: Closed']"
Hiddingh Hall Library,"31 Orange St, Gardens, Cape Town, 8001, South Africa",-33.9300258,18.4137834,021 650 7135,5,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Jacob Gitlin Library,"Albow Ctr, Hatfield St, Cape Town City Centre, Cape Town, 8001, South Africa",-33.9304389,18.4166273,021 462 5088,4,
Kloof Street Public Library,"122B Kloof St, Gardens, Cape Town, 8001, South Africa",-33.9349429,18.406519,021 814 1577,4.7,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: Closed', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: Closed', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
Vredehoek Public Library,"14 Derry St, Vredehoek, Cape Town, 8001, South Africa",-33.9376884,18.4270069,021 814 1760,5,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: Closed', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Sunflower Learning Centre Zonnebloem,"2 Cambridge St, Walmer Estate, Cape Town, 7925, South Africa",-33.9349696,18.4389455,,5,"['Monday: 8:00\u202fAM\u2009–\u20093:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20093:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20093:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Camps Bay Public Library,"The Dr, Camps Bay, 8005, South Africa",-33.95373499999999,18.377625,021 444 0487,4.8,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
