Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Natal Law Society Library,"407 Anton Lembede St, Durban Central, Durban, 4001, South Africa",-29.8603926,31.0199366,031 301 1621,5,
Durban University of Technology Library,"cnr Steve Biko Rd &, Botanic Gardens Rd, Musgrave, Berea, 4001, South Africa",-29.8524421,31.0032218,031 373 5829,4.8,"['Monday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Musgrave Library,"397 Che Guevara Rd, Bulwer, Berea, 4083, South Africa",-29.8530605,30.99775180000001,031 322 8702,4.1,"['Monday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:30\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']"
Campbell Collections,"220 Gladys Mazibuko Rd, Berea, Durban, 4001, South Africa",-29.83517639999999,31.0047135,031 260 1710,4,"['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Christian Science Church,"63 Florida Rd, Windermere, Durban, 4001, South Africa",-29.8366027,31.0183604,031 303 7383,5,
Umbilo Library,"Leeds Rd, Umbilo Industrial, Durban, 4001, South Africa",-29.8904669,30.9846425,031 205 3875,,
Damelin Durban - Westridge Campus,"Sydenham, Berea, 4091, South Africa",-29.82917,30.99387,,,
King Edward VIII Hospital - Nursing College Library,"256 Sydney Rd, Congela, Durban, 4013, South Africa",-29.8700112,30.99992139999999,,1,
Alan Petterson Library,"Durban University of Technology, Steve Biko Rd, Musgrave, Berea, 4001, South Africa",-29.8528685,31.0071676,,,
Prince Edward Library,"Bhoola Ctr, 70 Dr Goonam St, Central, Durban Central, Durban, 4001, South Africa",-29.85397549999999,31.01736039999999,031 322 6818,4.1,"['Monday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200912:30\u202fAM', 'Sunday: Closed']"
Austerville library,"66 Field St, Durban Central, Durban, 4001, South Africa",-29.8584403,31.02204249999999,,,
Isipingo beach public library,"66 Field St, Durban Central, Durban, 4001, South Africa",-29.8584403,31.02204249999999,,,
Gateway Information Service - E.G. Malherbe Library - University of Kwazulu Natal,"256 Sydney Rd, Congela, Durban, 4013, South Africa",-29.8700112,30.99992139999999,,,
University of Natal Medical School Library,"256 Sydney Rd, Congela, Durban, 4013, South Africa",-29.8700112,30.99992139999999,,,
Municipal Library Glenwood,"Glenwood Village, Moore Road, Durban Central, Durban, 4001, South Africa",-29.8544617,30.9971995,031 322 8702,3.8,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']"
Durban Central Public Library,"Anton Lembede St, Durban Central, Durban, 4000, South Africa",-29.8587529,31.0267471,031 311 2402,4.2,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed']"
Housebound Services,"99 Umgeni Rd, Greyville, Durban, 4001, South Africa",-29.84901460000001,31.01961840000001,031 311 2421,4,
Durban Corporation: Technical Library,"Durban Central, Durban, 4001, South Africa",-29.8537,31.02515000000001,,,
Lever Ponds Sa (Pty) LTD: Knowledge Centre,"Durban Central, Durban, 4001, South Africa",-29.8537,31.02515000000001,,5,
Shepstone & Wylie Law Library,"Durban Central, Durban, 4001, South Africa",-29.8537,31.02515000000001,,,
