Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"First National Bank of S a, First Law Library","88 Helen Joseph St, Johannesburg, 2000, South Africa",-26.2021494,28.0437352,,,
BHP Billiton Sa Limited: Information Centre,"Marshalltown, Johannesburg, 2107, South Africa",-26.20804099999999,28.0432757,,,
Constitutional Court Library,"Constitution Hill, 1 Hospital St, Braamfontein, Johannesburg, 2017, South Africa",-26.1888958,28.0430451,011 359 7400,1,
Hillbrow Library,"3 Olivia Rd, Berea, Johannesburg, 2198, South Africa",-26.187952,28.052803,011 643 1419,3.5,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed']"
BioPhy Library,"1 Jan Smuts Ave, Braamfontein Werf, Johannesburg, 2000, South Africa",-26.1911634,28.0322521,011 717 1962,5,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: Closed']"
GeoMaths Library,"Jorissen St, Johannesburg, 2000, South Africa",-26.1929344,28.0306506,011 717 1966,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Wartenweiler Library,"Yale Road 0117171913/14 Braamfontein,East Campus, Braamfontein, Johannesburg, 2000, South Africa",-26.1911186,28.0307621,011 717 1913,4.6,"['Monday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 2:00\u2009–\u20098:00\u202fPM']"
Chamber of Mines of Sa Library,"Marshalltown, Johannesburg, 2107, South Africa",-26.20804099999999,28.0432757,,,
William Cullen Library,"Jan Smuts Ave, Braamfontein, Johannesburg, 2050, South Africa",-26.1907105,28.0294955,011 717 1956,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Johannesburg City Library,"Albertina Sisulu Rd &, Pixley Ka Isaka Seme St, Johannesburg, 2000, South Africa",-26.2047084,28.0385222,011 407 7710,4.2,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Rand Water Library,"Fairview, Johannesburg, 2094, South Africa",-26.2021899,28.06282,,,
Sasol Infonet @ Rosebank,"Fairview, Johannesburg, 2094, South Africa",-26.2021899,28.06282,,4,
Alexander Forbes Risk Services: Akr Library,"Marshalltown, Johannesburg, 2107, South Africa",-26.20804099999999,28.0432757,,,
Greater Johannesburg Library Services,"Marshalltown, Johannesburg, 2107, South Africa",-26.2081401,28.04272599999999,,,
Department of Public Transport - Roads & Works Technical Library,"Marshalltown, Johannesburg, 2107, South Africa",-26.20804099999999,28.0432757,,,
