Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Csir Port Elizabeth: Information Centre,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.96088639999999,25.6139918,,,
Main Library,"Port Elizabeth Central, Gqeberha, 6006, South Africa",-33.9620544,25.6228269,041 506 3466,4.2,
ST. MICHAEL'S DIOCESAN LIBRARY,"10 Park Ln, Central, Gqeberha, 6001, South Africa",-33.9624976,25.60320489999999,041 373 2854,5,
Harvest Resource Library,"90 Albert Rd, Walmer, Gqeberha, 6065, South Africa",-33.98073530000001,25.6020862,041 581 3032,5,"['Monday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: 10:30\u2009–\u200911:00\u202fAM, 7:00\u2009–\u20097:30\u202fPM']"
University of Port Elizabeth: Vista Campus Library,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.96089,25.6140699,,,
Albertus Delport Library - University of Port Elizabeth,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.96089,25.6140699,,,
Port Elizabeth Fet College - Russel Road Campus - Resources Centre,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.96089,25.6140699,,,
Nelson Mandela Metropolitan University: Library & Information Services,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.96089,25.6140699,,,
Conti Tyre Information Centre,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.96089,25.6140699,,,
Provincial Hospital Medical Library,"Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.9580157,25.5993714,,3.9,
North End Library,"12 Mount Rd, Mt Croix, Gqeberha, 6001, South Africa",-33.9474038,25.6034338,041 506 4201,3.5,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']"
Walmer Library,"Main Rd, Walmer, Gqeberha, 6070, South Africa",-33.97819760000001,25.5845439,041 506 4206,3.9,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Gqebera Library,"74 Wesleyan St, Schoenmakerskop, Gqeberha, 6011, South Africa",-33.9892105,25.5899835,,,
