Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
University Of Pretoria : Pre-Clinical Library,"University Of Pretoria, Basic Medical Sciences, Prinshof 349-Jr, Pretoria, 0002, South Africa",-25.7350397,28.2021266,012 319 2242,4.5,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
The National Library of South Africa - Head Office,"228 Johannes Ramokhoase St, Pretoria Central, Pretoria, 0002, South Africa",-25.7428517,28.1894486,012 401 9700,4.6,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Unisa Library.,"University of South Africa, Samuel Pauw Building, Preller St, Muckleneuk Ridge, Pretoria, 0003, South Africa",-25.7680927,28.2019463,012 429 3133,4.3,"['Monday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Tshwane University of Technology - Pretoria Library,"432 Technikon Pl, Philip Nel Park, Pretoria, 0029, South Africa",-25.7313025,28.1621781,012 382 9443,4.5,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Music Library - University of Pretoria,"The Musaion And Amphitheatre, Elandspoort 357-Jr, Pretoria, 0132, South Africa",-25.7546437,28.22883,012 420 2069,5,"['Monday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
Department of Education Library,"123 Schoeman St, Pretoria Central, Pretoria, 0002, South Africa",-25.7500039,28.1843489,,5,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Sars Library,"Pretoria Central, Pretoria, 0002, South Africa",-25.74955,28.18641,,,
U.S. Embassy: Information Resource Centre,"Pretoria Central, Pretoria, 0002, South Africa",-25.74955,28.18641,,,
Mayville Library,"130 Van Rensburg St, Parktown Estate, Pretoria, 0084, South Africa",-25.6993108,28.1833985,012 358 9657,4.2,"['Monday: 10:00\u202fAM\u2009–\u20095:50\u202fPM', 'Tuesday: 12:00\u2009–\u20095:50\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:50\u202fPM', 'Thursday: 12:00\u2009–\u20095:50\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:50\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:50\u202fPM', 'Sunday: Closed']"
Brooklyn Community Library,"Shop 32, L2, Brooklyn Square Cnr Veale &, Middel St, Nieuw Muckleneuk, Pretoria, 0181, South Africa",-25.7711639,28.23287109999999,012 358 9672,4.2,"['Monday: 10:00\u202fAM\u2009–\u20095:50\u202fPM', 'Tuesday: 12:00\u2009–\u20095:50\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:50\u202fPM', 'Thursday: 12:00\u2009–\u20096:50\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:50\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:50\u202fPM', 'Sunday: Closed']"
