Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
The Foundry,"43 Station Dr, Morningside, Berea, 4001, South Africa",-29.8201061,31.02801789999999,087 232 4453,4.3,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Oasis Co-Working Space,"Level 1, 477 Anton Lembede St, Durban Central, Durban, 4000, South Africa",-29.8606147,31.016184,031 301 4408,,"['Monday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u200910:30\u202fPM']"
the office 97,"97 Innes Rd, Windermere, Berea, 4001, South Africa",-29.82309600000001,31.02308510000001,078 682 0580,5,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
"The Sett - Coworking Space, Meeting & Training Venue - North Beach","44 KE Masinga Rd, North Beach, Durban, 4001, South Africa",-29.8494432,31.03418130000001,083 445 5097,4,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Cilbar & Co,"15 Summit Dr, Sherwood, Durban, 4091, South Africa",-29.8275192,30.96656459999999,031 579 1081,,"['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Open Plan Studio,"4The Floor, Design Factory, 39 Station Dr, Morningside, Durban, 4001, South Africa",-29.820258,31.028049,072 729 4853,4.6,
Big Box,"155 Gordon Rd, Morningside, Durban, 4001, South Africa",-29.8315696,31.0161018,061 606 9114,,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
SAV Securiry,"10 Gladstone Rd, Park Hill, Durban North, 4051, South Africa",-29.7879181,31.0263482,,5,
"Regus - Durban, Westville - Westway Office Park","Westway Office Park, 18 The Blvd, Dawncliffe, Durban, 3629, South Africa",-29.8475584,30.9263944,031 003 3100,4.4,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Online entrepreneurship,"unit 2, 4 Prinia Pl, bakersville, Durban, 4001, South Africa",-29.7895604,30.9773027,061 379 0041,,"['Monday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20093:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
The Citadel Co-Working Space,"394 Esther Roberts Rd, Glenwood, Berea, 4001, South Africa",-29.8717936,30.9914517,079 104 5260,4.9,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
