Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
WeWork - Coworking & Office Space,"1F, 173 Oxford Rd, Rosebank, Johannesburg, 2196, South Africa",-26.1458514,28.0438455,010 865 0240,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Orange Corners Braamfontein,"45 Juta St, Braamfontein, Johannesburg, 2000, South Africa",-26.19455,28.03219,,,
Orange Corners Maboneng,"20 Kruger St, City and Suburban, Johannesburg, 2094, South Africa",-26.2045564,28.05944719999999,010 900 2000,5,
Nations Voice,"44 Stanley Ave, Braamfontein Werf, Johannesburg, 2092, South Africa",-26.18547,28.01902,,,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"The Workspace Robindale, Randburg","63 Bram Fischer Dr, Robindale, Randburg, 2194, South Africa",-26.1169178,27.9989436,011 086 0600,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Community Centre Co-Working Space - CLOSED,"357 Jan Smuts Ave, Craighall Park, Johannesburg, 2196, South Africa",-26.1193945,28.0269126,011 781 0455,4,
Raj work,"266 Republic Rd, Darrenwood, Randburg, 2194, South Africa",-26.1293355,27.98504699999999,,,
BLACKBOX66,"block b, 66 Rivonia Rd, Chislehurston, Sandton, 2196, South Africa",-26.1149706,28.0504078,083 255 8609,5,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Cosmic Cowork,"Situated 29, Chiswick St, Brixton, Johannesburg, 2092, South Africa",-26.1933573,28.0040292,,,
The Workspace Melrose Arch,"Block G, 2nd Floor, 44 Melrose Blvd, Birnam, Johannesburg, 2196, South Africa",-26.1325538,28.0688787,010 020 1860,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Collabo Lab Innovation Hub | Design Studio,"Shop 12 Rockey Alley, 24 Rockey St, Bellevue, Johannesburg, 2096, South Africa",-26.18147,28.06764,083 432 2655,5,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Work DiDo,"10 Kirkby Rd, Bedford Gardens, Germiston, 2008, South Africa",-26.19415039999999,28.1221724,011 027 0877,,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Peotona,"3 3rd Ave, Melville, Johannesburg, 2109, South Africa",-26.17805,27.99781,,,
