Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Flexible Workspace 8MS,"8 Morrison St, Rivertown, Durban, 4001, South Africa",-29.8524595,31.0339185,086 111 4625,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Oasis Co-Working Space,"Level 1, 477 Anton Lembede St, Durban Central, Durban, 4000, South Africa",-29.8606147,31.016184,031 301 4408,,"['Monday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u200910:30\u202fPM']"
"The Sett - Coworking Space, Meeting & Training Venue - North Beach","44 KE Masinga Rd, North Beach, Durban, 4001, South Africa",-29.8494432,31.03418130000001,083 445 5097,4,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
the office 97,"97 Innes Rd, Windermere, Berea, 4001, South Africa",-29.82309600000001,31.02308510000001,078 682 0580,5,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
The Foundry,"43 Station Dr, Morningside, Berea, 4001, South Africa",-29.8201061,31.02801789999999,087 232 4453,4.3,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Regus - Durban, Westville - Westway Office Park","Westway Office Park, 18 The Blvd, Dawncliffe, Durban, 3629, South Africa",-29.8475584,30.9263944,031 003 3100,4.4,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Open Plan Studio,"4The Floor, Design Factory, 39 Station Dr, Morningside, Durban, 4001, South Africa",-29.820258,31.028049,072 729 4853,4.6,
Connect Space Durban,"102 Stephen Dlamini Rd, Musgrave, Durban, 4001, South Africa",-29.8491827,30.9982767,031 313 3300,4.4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Regus - Durban, Pharos House, Westville","1st Floor, Pharos House, 70 Buckingham Tce., Westville, Durban, 3629, South Africa",-29.83564429999999,30.917277,031 003 5100,4.6,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Workspace Recruitment Agency,"37 Norfolk Rd, Essenwood, Durban, 4001, South Africa",-29.8386463,31.0062033,,,
The Citadel Co-Working Space,"394 Esther Roberts Rd, Glenwood, Berea, 4001, South Africa",-29.8717936,30.9914517,079 104 5260,4.9,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
