Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
The Workspace Melrose Arch,"Block G, 2nd Floor, 44 Melrose Blvd, Birnam, Johannesburg, 2196, South Africa",-26.1325538,28.0688787,010 020 1860,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"The Workspace Robindale, Randburg","63 Bram Fischer Dr, Robindale, Randburg, 2194, South Africa",-26.1169178,27.9989436,011 086 0600,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
The Workspace Blackheath,"Unit 1 Pendoring Office Park, 299 Pendoring Rd, Blackheath, Johannesburg, 2195, South Africa",-26.1307736,27.9683617,011 589 5800,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
ADAPT | Co-Working & Flexi-Workspaces,"23 Sturdee Ave, Rosebank, Johannesburg, 2196, South Africa",-26.1436065,28.0380176,010 010 8036,,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Offyish,"27 Boxes, 76a 4th Ave, Melville, Johannesburg, 2109, South Africa",-26.1757093,28.0081991,011 482 1147,5,"['Monday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
United Workspace,"354a Jan Smuts Ave, Craighall, Johannesburg, 2196, South Africa",-26.1213894,28.0294374,069 210 6937,,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']"
WeWork - Coworking & Office Space,"1F, 173 Oxford Rd, Rosebank, Johannesburg, 2196, South Africa",-26.1458514,28.0438455,010 865 0240,4.6,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Orange Corners Maboneng,"20 Kruger St, City and Suburban, Johannesburg, 2094, South Africa",-26.2045564,28.05944719999999,010 900 2000,5,
"Regus - Johannesburg, Parktown","1ST Floor, Block B & Block C, Metropolitan Park, 8 Hillside Rd, Parktown, Johannesburg, 2196, South Africa",-26.1835429,28.0397628,011 480 4800,3.3,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Workshop17 The Bank,"Corner Tyrwhitt and, 24 Cradock Ave, Rosebank, Johannesburg, 2196, South Africa",-26.1454874,28.0423544,010 500 1453,4.6,"['Monday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
