Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"The Workspace at The Club, Pretoria","Cnr Pinaster Avenue and 18th Street, The Club Shopping Centre, Second Floor, Hazelwood, Pretoria, 0081, South Africa",-25.7783987,28.2571756,012 764 7200,4.3,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Office Co. - Brooklyn,"2nd Floor, Walker Creek Office Park Building, 2, 90 Florence Ribeiro Ave, Muckleneuk, Pretoria, 0081, South Africa",-25.765312,28.2216173,012 786 0133,5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Ideas Assembly, co-work and business solutions","61 Thomson St, Colbyn, Pretoria, 0083, South Africa",-25.7417453,28.2413122,,4,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Grounded Work,"Shop 4, 353 24th Avenue, Villieria, Pretoria, 0186, South Africa",-25.7217283,28.2271505,012 329 0159,4.6,"['Monday: 6:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Grit Space Offices,"11 Hazelwood Rd, Hazelwood, Pretoria, 0081, South Africa",-25.7752421,28.255701,,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Brooklyn House Wellness & Workspace,"1148 Jan Shoba St, Brooklyn, Pretoria, 0181, South Africa",-25.7696501,28.2356299,082 929 2914,,
Office Co. - Menlyn,"169 Garsfontein Rd, Ashlea Gardens, Pretoria, 0081, South Africa",-25.7842788,28.2650737,012 786 0133,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Manhattan Co Working,"First Floor, Building 2, Ashlea Gardens Office Park, 180 Garsfontein Rd, Ashlea Gardens, Pretoria, 0081, South Africa",-25.7842205,28.266586,012 030 0267,4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Spaces - Pretoria, Spaces Menlyn Maine","210 Amarand Avenue, Pegasus, building 1, Menlyn, Maine, 0181, South Africa",-25.78606,28.2837208,012 443 6400,4.2,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Colab,"194 Bancor Avenue Park Lane West Building, Ext 2, Menlyn Maine, Waterkloof Glen, Pretoria, 0181, South Africa",-25.7864982,28.2819014,066 414 7766,4.8,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Regus - Pretoria, Lynnwood Bridge","5th Floor, Bloukrans Building, Lynnwood Rd, Lynnwood Manor, Pretoria, 0081, South Africa",-25.7647472,28.2787526,012 007 2210,3.3,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
"Regus - Pretoria, Central","115 Paul Kruger St, Pretoria Central, Pretoria, 0002, South Africa",-25.74386399999999,28.187555,012 947 2601,3.4,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
"Regus - Pretoria, Brooklyn Bridge","3rd Floor Steven House, Office Park, Brooklyn Bridge Rd, Brooklyn, Pretoria, 0181, South Africa",-25.7706,28.2357,012 433 6300,4.1,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
NetworkSpace Menlyn,"169, Ground Floor, Corobay Corner, Block 1 Corobay Ave, Menlyn, Pretoria, 0010, South Africa",-25.78762,28.2791951,011 593 3199,4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
